AW.UN,"A&W Revenue Rylty Un"
CKE,"Chinook Energy Inc."
CHP.UN,"Choice Ppty REIT Un"
CHR,"Chorus Aviation V&VV"
CIX,"CI Financial Corp."
MBA,"CIBT Education Grp J"
CGX,"Cineplex Inc."
CGX.DB.A,"Cineplex Inc 4.5% Db"
CPH,"Cipher Pharma J"
CTF.UN,"Citadel Incm Fund Un"
CVG,"Clairvest Group Inc"
CKI,"Clarke Inc."
CSM,"ClearStream Energy"
CSM.DB.A,"Clearstream 10% Deb"
CLR,"Clearwater Seafoods"
CNU,"CNOOC Limited ADRs"
CCS.PR.C,"Co-operators Sr C Pr"
CCA,"Cogeco Commun Inc SV"
CGO,"Cogeco Inc. SV"
GCL,"Colabor Group Inc."
GCL.DB.A,"Colabor Grp 6% Deb"
CIGI,"Colliers Intl Grp SV"
CGT,"Columbus Gold Corp J"
CUF.UN,"Cominar Real Est Un"
YCM,"Commerce Split Cap"
YCM.PR.A,"Commerce Split I Pr"
YCM.PR.B,"Commerce Split II Pr"
CMG,"Computer Modelling J"
CONA,"Cona Resources Ltd."
CXR,"Concordia Int'l J"
CPI,"Condor Petroleum J"
CFF,"Conifex Timber Inc."
CSU,"Constellation Softwr"
CSU.DB,"Constellation Deb 1"
CNL,"Continental Gold J"
CNL.WT.A,"Continental A Wt J"
CMMC,"Copper Mountain J"
CSW.A,"Corby Spirit&Wine A"
CSW.B,"Corby Spirit&Wn B NV"
CDD.UN,"Core Cdn Dividend Un"
COP,"Coro Mining Corp. J"
CDH,"Corridor Resources"
CJR.B,"Corus Entertnmnt B"
KOR,"Corvus Gold Inc. J"
BCB,"Cott Corporation"
PATH,"CounterPath Corp. J"
PMTS,"CPI Card Group Inc."
CPG,"Crescent Point Corp."
CTX,"Crescita Therpeutc J"
CR,"Crew Energy Inc."
CRH,"CRH Medical Corp. J"
CCZ,"Critical Control J"
CCZ.PR.A,"Critical Control Pr"
KWH.UN,"Crius Energy Tr Un"
CRR.DB.E,"Crombie REIT 5.25 Db"
CRR.UN,"Crombie Real Est Un"
CWI,"Crosswinds Hldgs J"
CRWN,"Crown Cap Partners J"
CRT.UN,"CT Rl Est Invest Un"
CIU.PR.A,"CU Inc. Pr Ser 1"
CIU.PR.C,"CU Inc. Pr Ser 4"
CXI,"Currency Exch Intl J"
CYB,"Cymbria Corp Cl A NV"
CAPS,"Evolve Actv US EqHeg"
CAPS.B,"EvolveActvUS EqUnheg"
CARS,"Evolve AutoInnov Heg"
CARS.B,"Evolve AutoInnovUnHg"
CYBR,"Evolve CybrSec Heg"
CYBR.B,"Evolve CybrSecUn-Heg"
CALL,"EvolveUS BkEnhYldHeg"
CALL.B,"EvolveUS BkEnhYldUhg"
CXF,"1st Asset ConvBnd Un"
CIC,"1st Ast CanBanc Incm"
CED,"1st AstCoreCdn Eq Un"
CSY,"First AsstCoreCdn Eq"
CES,"1st AstCoreUSEqtC$Un"
CES.B,"1st AstCoreUSEqC$U-H"
CES.U,"1st AstCoreUS$U-H Un"
CAN,"Horizn CdnDolr Cur A"
CBH,"iShre 1-10CorpBnd Un"
CBH.A,"iShre 1-10CorpBnd Ad"
CLG,"iShre 1-10GovtBnd Un"
CLG.A,"iShre 1-10GovtBnd Ad"
CBO,"iShre 1-5 CorpBnd Un"
CBO.A,"iShre 1-5CorpBnd Ad"
CLF,"iShre 1-5 GovtBnd Un"
CLF.A,"iShre 1-5 GovtBnd Ad"
CBN,"iShares GrowCore Un"
CBN.A,"iShares GrowCore Adv"
CBD,"iShares IncmCore Un"
CBD.A,"iShares IncmCore Adv"
CVD,"iShares ConvBond Un"
CVD.A,"iShares ConvBond Adv"
CEW,"iShares EqWeight Un "
CEW.A,"iShares EqWeight Adv"
COW,"iShares GlblAgri Un"
COW.A,"iShares GlblAgri Adv"
CIF,"iShares GlbInfras Un"
CIF.A,"iShare GlbInfras Adv"
CYH,"iShares GlblMoDiv Un"
CYH.A,"iShares GlblMoDiv Ad"
CGR,"iShares GlblRlEst Un"
CGR.A,"iShare GlblRlEst Adv"
CWW,"iShares GlblWater Un"
CWW.A,"iShares GlbWater Adv"
CGL,"iShare GldBulHdgd Un"
CGL.C,"iShare GldBul Nn-Hdg"
CMR,"iShares MoneyMkt Un"
CMR.A,"iShares MoneyMkt Adv"
CDZ,"iShr CdnDivAristo Un"
CDZ.A,"iShare CdnDivAristAd"
CPD,"iShares CdnPref Un"
CPD.A,"iShares CdnPref Adv"
CSD,"iShr ShDuratn HighUn"
CSD.A,"iShr ShDuratn HighAd"
CHB,"iShr US HiYldIncm Un"
CHB.A,"iShr US HiYldIncm Ad"
CUD,"iShare US DivGrow Un"
CUD.A,"iShare US DivGro Adv"
CBT.UN,"June 2020CorpBnd 'T'"
CAGG,"WisdomTreeCA BndNN-H"
CAGS,"WisdomTreeCA STBndNH"
DRX,"ADF Group Inc. SV"
DISC,"BMO Glbl ConsmrDiscr"
DOO,"BRP Inc. SV"
DNT,"Candente Copper J"
DBO,"D-Box Tech Inc. A J"
DNA,"Dalradian Res Inc. J"
DCM,"Data Commun Mgt"
DW,"DataWind Inc. J"
DEE,"Delphi Energy Corp."
DEE.NT,"Delphi Energy 10% Nt"
DEE.WT,"Delphi Energy Wt"
DML,"Denison Mines Corp"
DSG,"Descartes Systems"
DCC,"Desjardins 1-5yrCorp"
DCG,"Desjardins 1-5yrGovt"
DFC,"DesjardinCaMltiCntrl"
DCP,"Desjardins Cdn Pref"
DCS,"Desjardins CdnST Bnd"
DCU,"DesjardinCA UnivBnd"
DFD,"DesjardinDevexUS xCA"
DFU,"DesjardinUSMultCntrl"
DGC,"Detour Gold Corp J"
DHX.A,"DHX Media Ltd. VV"
DHX.B,"DHX Media Ltd."
DHX.DB,"DHX Media 5.875% Deb"
DCF,"Difference Cap Fin J"
DCF.DB,"Difference Cap 8%DbJ"
DIN.DB,"DIR Industrl Ppty Db"
DRT,"DIRTT Env Solution J"
DA.DB.A,"Discovry Air 8.375Db"
DIV,"Divers Rylty Corp."
DFN,"Dividend 15 Splt A"
DFN.PR.A,"Dividend 15 Splt Pr"
DF,"Dividend 15Split 2 A"
DF.PR.A,"Dividend 15Splt 2 Pr"
DGS,"Div Growth Splt Cl A"
DGS.PR.A,"Div Growth Split Pr"
DS,"Dividend Select 15Eq"
DOL,"Dollarama Inc."
DDC,"Dominion Diamond"
UFS,"Domtar Corporation"
DII.A,"Dorel Ind Inc A MV"
DII.B,"Dorel Ind Inc B SV"
DII.DB.U,"Dorel Ind 5.5% Db US"
DSL.UN,"DoubleLine Incm A Un"
DRG.UN,"Dream Global REIT Un"
DRA.UN,"Dream Hrd AsetAlt Un"
DIR.DB,"Dream Indust 5.25 Db"
DIR.UN,"Dream Industrl REIT"
D.UN,"Dream Office REIT Un"
DRM,"DREAM Unltd Cl A SV"
DRM.PR.A,"DREAM Unltd 1st Pr"
DC.A,"Dundee Corp. Cl A SV"
DC.PR.B,"Dundee Corp. Pr 2"
DC.PR.D,"Dundee Corp 1st Pr 3"
DC.PR.E,"Dundee Corp Pr 5"
DC.WT,"Dundee Corp Wt"
DPM,"Dundee Precious Mtl"
DXI,"DXI Energy Inc J"
DNG,"Dynacor Gold Mines J"
DXC,"Dynamic iShr CADivUn"
DXO,"Dynamic iShrCrosBond"
DXG,"Dynamic iShr GlblDiv"
DXF,"Dynamic iShr GlbFin"
DXP,"Dynamic iShr Pref Un"
DXB,"Dynamic iShrActvTact"
DXU,"Dynamic iShr US Div"
DXZ,"Dynamic iShrUSMidCap"
DIVS,"Evolve CA Pref UnHeg"
DCD.UN,"1st Asset Divers Un"
DXM,"1stAsst MornstrDiv30"
DLR,"Horizon US$ Cur A Un"
DLR.U,"Horizon US$Cur A USF"
DR,"Medical Facilities"
DR.DB.A,"Medical Fac 5.9% Deb"
DGRC,"WisdomTreeCA QualDiv"
DQI,"Wisdom3 IntlDivVarHg"
DGR,"WisdomTree USDivHegd"
DGR.B,"WisdomTree USDvNN-HG"
DQD,"Wisdom3 USDivVaryHeg"
EIT.PR.A,"Canoe EIT Incm4.8 Pr"
EIT.UN,"Canoe EIT Income Un"
ELF,"E-L Financial Corp."
ELF.PR.F,"E-L Financial 1st Pr"
ELF.PR.G,"E-L Financl 4.75 Pr2"
ELF.PR.H,"E-L Financl 5.5 Pr 3"
EGL,"Eagle Energy Inc. J"
ECF.UN,"East Coast InvGrd Un"
ELR,"Eastern Platinum J"
ER,"Eastmain Resources J"
EFH,"Echelon Fin Hldgs"
ERM,"Eclipse Resident Mtg"
ECN,"ECN Capital Corp."
ECN.PR.A,"ECN Capital 6.50% Pr"
ECN.PR.C,"ECN Capital 6.25% Pr"
EOM,"Eco Oro Minerals J"
ECS,"eCobalt Solutions J"
EVT,"Economic Investment"
ECO,"EcoSynthetix Inc. J"
ELD,"Eldorado Gold Corp."
EFL,"Electrovaya Inc."
EFN,"Element Fleet Mgt"
EFN.DB,"Element Fleet5.125Db"
EFN.DB.A,"Element Fleet 4.25Db"
EFN.PR.A,"Element Fleet Pr A"
EFN.PR.C,"Element Fleet Pr C"
EFN.PR.E,"Element Fleet Pr E"
EFN.PR.G,"Element Fleet Pr G"
EFN.PR.I,"Element Fleet Pr I"
EMA,"Emera Incorporated"
EMA.PR.A,"Emera Inc. Ser A Pr"
EMA.PR.B,"Emera Inc. Ser B Pr"
EMA.PR.C,"Emera Inc. Ser C Pr "
EMA.PR.E,"Emera Inc. Ser E Pr"
EMA.PR.F,"Emera Inc. Ser F Pr"
EMP.A,"Empire Co Cl A NV"
ENB,"Enbridge Inc."
ENB.PF.A,"Enbridge Ser 9 Pr"
ENB.PF.C,"Enbridge Ser 11 Pr"
ENB.PF.E,"Enbridge Ser 13 Pr"
ENB.PF.G,"Enbridge Ser 15 Pr"
ENB.PF.I,"Enbridge Ser 17 Pr"
ENB.PF.U,"Enbridge Ser L US Pr"
ENB.PF.V,"Enbridge Ser 5 US Pr"
ENB.PR.A,"Enbridge 5.50% Pr"
ENB.PR.B,"Enbridge Inc Sr B Pr"
ENB.PR.C,"Enbridge Inc Sr C Pr"
ENB.PR.D,"Enbridge Inc Sr D Pr"
ENB.PR.F,"Enbridge Inc Sr F Pr"
ENB.PR.H,"Enbridge Inc Sr H Pr"
ENB.PR.J,"Enbridge Ser 7 Pr"
ENB.PR.N,"Enbridge Inc Sr N Pr"
ENB.PR.P,"Enbridge Inc Sr P Pr"
ENB.PR.T,"Enbridge Inc Sr R Pr"
ENB.PR.U,"Enbridge Sr J US Pr"
ENB.PR.V,"Enbridge Ser 1 US Pr"
ENB.PR.Y,"Enbridge Ser 3 Pr"
ENF,"Enbridge Incm Hldgs"
ECA,"EnCana Corporation"
EDV,"Endeavour Mining Ord"
EDR,"Endeavour Silver J"
ECI,"EnerCare Inc."
EFX,"Enerflex Ltd."
PCF.U,"Energy Credit Opp U"
PCF.UN,"Energy Credit Opp A"
EFR,"Energy Fuels Inc. J"
EFR.DB,"Energy Fuels Deb J"
EFR.WT,"Energy Fuels Wt J"
ENI.UN,"Energy Income Fnd Un"
HEN.UN,"Energy Leaders Tr Un"
HPF,"Energy Leadr+Incm Un"
HPF.U,"Energy Leadr+Incm US"
ERF,"Enerplus Corporation"
ENGH,"Enghouse Systems Ltd"
ESI,"Ensign Engy Services"
E,"Enterprise Group Inc"
ENT,"ENTREC Corporation"
ENT.DB,"ENTREC Corp. Deb"
ETG,"Entree Resources J"
EPS,"Epsilon Energy Ltd J"
EQB,"Equitable Group Inc."
EQB.PR.C,"Equitable Grp Pr 3"
EQI,"Eqty Financl Hldgs J"
ERD,"Erdene Res Dev J"
ERO,"Ero Copper Corp. J"
ESP,"Espial Group Inc. J"
EPI,"Essa Pharma Inc. J"
ESN,"Essential Energy Ltd"
ETX,"Etrion Corporation J"
ESM,"Euro Sun Mining J"
EOX,"Euromax Resources J"
EBC.UN,"EU Bl-Chp DivGrow Un"
EDGF.UN,"European DivGrwth Un"
ET,"Evertz Technologies"
DIVS,"Evolve CA Pref UnHeg"
TIME,"EvolveActShDurBndHeg"
TIME.B,"EvolveActShDurBndUnh"
CAPS,"Evolve Actv US EqHeg"
CAPS.B,"EvolveActvUS EqUnheg"
CARS,"Evolve AutoInnov Heg"
CARS.B,"Evolve AutoInnovUnHg"
CYBR,"Evolve CybrSec Heg"
CYBR.B,"Evolve CybrSecUn-Heg"
HERS,"Evolve NA Gender Heg"
HERS.B,"Evolve NA GndrUn-Heg"
CALL,"EvolveUS BkEnhYldHeg"
CALL.B,"EvolveUS BkEnhYldUhg"
XCT,"exactEarth Ltd. J"
EXGB,"Excel GlbBalAst E Un"
EXGG,"Excel GlbGroAst E Un"
EXN,"Excellon Resources J"
EXN.WT,"Excellon Res Wt J"
MIN,"Excelsior Mining J"
EIF,"Exchange Income Corp"
EIF.DB.E,"Exchng Incm 5.5% Deb"
EIF.DB.F,"Exchng Incm 5.35 Deb"
EIF.DB.G,"Exchange Incm 6% Deb"
EIF.DB.H,"Exchng Incm 5.25% Db"
XTC,"Exco Technologies"
EXF,"EXFO Inc. SV"
EXE,"Extendicare Inc."
EXE.DB.B,"Extendicare 6% Deb"
EUR,"1st TrAlphDEX EU Div"
EUR.A,"1st TrAlphDX EUDivAd"
ETP,"1st Tr Glb RskMngeUn"
ETP.A,"1st Tr Glb RskMngeAd"
ELV,"PwrShr S&P EmrgMkts"
EDT,"Spectral Medical Inc"
EML.PR.A,"Empire Life Ins Pr 1"
EMV.B,"WisdomTreeEmrgMktDiv"
EHE,"WisdomTree EU HEG Eq"
EHE.B,"WisdomTreeEU Eq N-Hg"
FAP,"Aberdeen Asia-Pacifc"
FGX,"Faircourt Gld Incm A"
FCS.PR.C,"Faircourt Split 6%Pr"
FCS.UN,"Faircourt Splt Tr Un"
FAH.U,"Fairfax Africa SV US"
FFH,"Fairfax Financial SV"
FFH.PR.C,"Fairfax Fin Ser C Pr"
FFH.PR.D,"Fairfax Fin Ser D Pr"
FFH.PR.E,"Fairfax Fin Ser E Pr"
FFH.PR.F,"Fairfax Fin Ser F Pr"
FFH.PR.G,"Fairfax Fin Ser G Pr"
FFH.PR.H,"Fairfax Fin Ser H Pr"
FFH.PR.I,"Fairfax Fin Ser I Pr"
FFH.PR.J,"Fairfax Fin Ser J Pr"
FFH.PR.K,"Fairfax Fin Ser K Pr"
FFH.PR.M,"Fairfax Fin Ser M Pr"
FFH.U,"Fairfax Fin SV USF"
FIH.U,"Fairfax India SV USF"
FRX,"Fennec Pharmaceut J"
FSZ,"Fiera Capital A SV"
FTN,"Financial 15 Splt A"
FTN.PR.A,"Financial 15 Splt Pr"
FTT,"Finning Int'l Inc."
FTG,"Firan Tech Grp Corp."
FC,"Firm Cap Mtg Invest "
FC.DB.B,"Firm Cap Mtg 5.4% Db"
FC.DB.C,"Firm Cap Mtg 5.25%Db"
FC.DB.D,"Firm Cap Mtg 4.75 Db"
FC.DB.E,"Firm Cap Mtg 5.3% Db"
FC.DB.F,"Firm Cap Mtg 5.5% Db"
FC.DB.G,"Firm Cap Mtg 5.2% Db"
FC.DB.H,"Firm Cap Mtg 5.3% Db"
BXF,"1stAst 1-5GvtStBndUn"
FDV,"1st AsstActvCADiv Un"
FAO,"1st AsstActvCredt Un"
FAO.U,"1st AsstActvCredt US"
FAI,"1st AstActUtilInfrUn"
FCY,"1st AssetCambrgUS Eq"
FCY.B,"1st AssetCambrgUSUnh"
FCW,"1st AstCambrdgDv Heg"
FCW.B,"1st AstCambrdgDvUn-H"
OXF,"1stAsset EngyCall Un"
MXF,"1stAsset Material Un"
FBE,"1st Asset CA Buyback"
CXF,"1st Asset ConvBnd Un"
ADC.UN,"1st Asset CdnConv Un"
FDL,"1st AssetCA DivLwVlt"
RIT,"1st Asset CdnREIT Un"
CIC,"1st Ast CanBanc Incm"
CED,"1st AstCoreCdn Eq Un"
CSY,"First AsstCoreCdn Eq"
CES,"1st AstCoreUSEqtC$Un"
CES.B,"1st AstCoreUSEqC$U-H"
CES.U,"1st AstCoreUS$U-H Un"
DCD.UN,"1st Asset Divers Un"
NXF,"1stAstEngyGiantCovUn"
NXF.B,"1stAstEngyGiatUnhgUn"
FSB,"1st Ast EnhanceShBnd"
FSB.U,"1st AstEnhancShBndUS"
FHB,"1st Asset EuropeanUn"
FSF,"1stAst GlbFinSctr Un"
FIG,"1st Asset Inv Bnd Un"
FLB,"1st Asst LngDurFxdUn"
DXM,"1stAsst MornstrDiv30"
WXM,"1stAsst MornMomnt Un"
FXM,"1stAst MornCdaVal Un"
ZXM,"1stAst MornIntlMomUn"
ZXM.B,"1stAst IntlMomUnhgUn"
VXM,"1stAsst MrnIntlValUn"
VXM.B,"1stAst IntlValUnhgUn"
QXM,"1stAsst MornstrNBkQC"
UCD.UN,"1stAst MornUS Consmr"
UXM,"1stAstUS Div50 Un"
UXM.B,"1stAstUS Dv50 UnhgUn"
YXM,"1st Ast US Moment Un"
YXM.B,"1st AstUSMmntUnhegUn"
XXM,"1stAstMrnStrUSVal Un"
XXM.B,"1stAst MrnUS ValUnhg"
RWC,"1st AstMSCI CdaLR Un"
FQC,"1st AstMSCI Cda Qual"
RWE,"1stAst MSCI EurLR Un"
RWE.B,"1stAst EurLR Unhg Un"
RWX,"1st AstIntlLowRskWgt"
RWX.B,"1st AstIntlLwRskUnHg"
RWU,"1st Ast MSCI USA Un"
RWU.B,"1stAstMSCI USA Unheg"
RWW,"1st AstMSCI World Un"
RWW.B,"1st AstMSCI WrldUnhg"
NCD.UN,"1st AsstNA AdvanConv"
FPR,"1st Asst Pref Shr Un"
FGB,"1stAsst ST GovtBndCl"
TXF,"1stAstTech Giants Un"
TXF.B,"1stAstTechGiant UnHG"
FLI,"1st Ast US&CdaLifeco"
FBU,"1st Asset US Buyback"
FUM,"1st AssetUS EqMltFac"
FUT,"1st AssetUSTacSctrAl"
SID,"1st Ast US TrndLeadr"
FCR,"First Capital Realty"
FCR.DB.J,"First Cap Feb 4.45Db"
FR,"First Majestic J"
FF,"First Mining Fin J"
FN,"First Nat'l Fin Corp"
FN.PR.A,"1st Natl Fin Sr 1 Pr"
FN.PR.B,"1st Natl Fin Sr 2 Pr"
FNM.UN,"1st Natl MtgInvst Un"
FM,"First Quantum Mnrl J"
FDE,"1st Tr AlphEmrgMktUn"
FDE.A,"1st Tr AlphEmrgMktAd"
EUR,"1st TrAlphDEX EU Div"
EUR.A,"1st TrAlphDX EUDivAd"
FHD,"1stTr AlpDEX US Dscr"
FHC,"1stTr AlpDEX US Stpl"
FUD,"1st Tr AlphaUSDiv Un"
FUD.A,"1st Tr AlphaUSDivAdv"
FHE,"1stTrAlphDEX US Engy"
FHF,"1stTr AlphDEX US Fin"
FHH,"1stTr AlpDEX US Hlth"
FHG,"1stTr AlphDEX US Ind"
FHM,"1stTr AlpDEX US Mtrl"
FHQ,"1stTr AlpDEX US Tech"
FHU,"1stTr AlpDEX US Util"
FST,"1st Tr CdnCapStrngUn"
FST.A,"1st Tr CdnCapStrngAd"
FSR,"1st Tr DrsyWrgtUSRot"
ETP,"1st Tr Glb RskMngeUn"
ETP.A,"1st Tr Glb RskMngeAd"
FSL,"1st Tr SnrLoan Cad-H"
FSL.A,"1st Tr SnrLoanC-H Ad"
FSD,"1st Tr ShDurHiYld Un"
FSD.A,"1st Tr ShDurHiYld Ad"
FTB,"1st Tr TacticlBnd Un"
FSV,"FirstService Corp SV"
FCU,"Fission Uranium J"
FFI.UN,"Flaherty&Crum Fix Un"
FAR,"Foraco Int'l SA"
FSY,"Forsys Metals Corp J"
FTS,"Fortis Inc."
FTS.PR.F,"Fortis Inc. 1st Pr F"
FTS.PR.G,"Fortis Inc. 1st Pr G"
FTS.PR.H,"Fortis Inc. 1st Pr H"
FTS.PR.I,"Fortis Inc.1st Pr I "
FTS.PR.J,"Fortis Inc. 1st Pr J"
FTS.PR.K,"Fortis Inc. 1st Pr K"
FTS.PR.M,"Fortis Inc. 1st Pr M"
FTP,"Fortress Paper Ltd A"
FTP.DB.A,"Fortress Paper 7% Db"
FVI,"Fortuna Silver Mines"
FT,"Fortune Minerals J"
FNV,"Franco-Nevada Corp."
FLCI,"Franklin LibCAInvGrd"
FLRM,"Franklin LibRskCA Eq"
FLDM,"Franklin LibQTIntlEq"
FLUS,"Franklin LibQT US Eq"
FVL,"Freegold Ventures J"
FRU,"Freehold Royalties "
FRII,"Freshii Inc. Cl A SV"
FEC,"Frontera Energy Corp"
FOOD,"Goodfood Market J"
FIE,"iShares CdnFinMo Un"
FIE.A,"iShares CdnFinMo Adv"
FFN,"NA Fin 15 Split A "
FFN.PR.A,"NA Fin 15 Split 2 Pr"
FRL.UN,"Sr Secured FltgLn Un"
FTU,"US Financial 15 Cl A"
FTU.PR.B,"US Financial15 Pr 12"
GBT,"BMTC Group Inc."
GPS,"BSM Tech Inc. J"
GOOS,"Cda Goose Hldgs SV"
GAS,"Cdn Natrl Gas Idx A"
GIB.A,"CGI Group Cl A SV"
GCL,"Colabor Group Inc."
GCL.DB.A,"Colabor Grp 6% Deb"
GBU,"Gabriel Resources J"
GH,"Gamehost Inc."
GZT,"Gazit-Globe Ltd. Ord"
GDI,"GDI Integrated SV J"
GDI.DB,"GDI Integrated 5%Deb"
GXE,"Gear Energy Ltd."
GDS,"Gendis Inc."
GEN,"GeneNews Limited J"
GMO,"General Moly, Inc."
GMM.U,"General Motors Co US"
GDC,"Genesis Land Dev"
MIC,"Genworth MI Canada"
GEO,"Geodrill Limited Ord"
WN,"Weston George"
WN.PR.A,"Weston George 1 Pr"
WN.PR.C,"Weston George III Pr"
WN.PR.D,"Weston George IV Pr"
WN.PR.E,"Weston George V Pr"
GEI,"Gibson Energy Inc"
GEI.DB,"Gibson Energy Inc Db"
GIL,"Gildan Activewear"
GVC,"Glacier Media Inc. J"
GLG,"GLG Life Tech Corp J"
GAF.UN,"Globl Alpha World Un"
NAF.UN,"Global Cap Sec A Un"
GCS.PR.A,"Glbl Champions Pr 1"
GDG.UN,"Glbl Div Growers Un"
HIG.UN,"Global Healthcare Un"
GRL,"Global RlEstDivGroEq"
HGR,"Glbl REIT Lead Incm"
GRP.PR.A,"Globl Res Champ Pr A"
HGI.UN,"Global Tel & Util Un"
GWR,"Global Water Res"
HTO.UN,"Global WaterSolut Un"
GBF,"Globalance Div GroEq"
GMX,"Globex Mining Ent J"
GS,"Gluskin Sheff + Assc"
GMP,"GMP Capital Inc."
GMP.PR.B,"GMP Capital Ser B Pr"
GMP.PR.C,"GMP Capital Ser C Pr"
GSY,"goeasy Ltd."
GSY.DB,"goeasy Ltd 5.75% Deb"
GGD,"GoGold Resources J"
GGD.WT,"GoGold Res Wt J"
GSV,"Gold Stand Venture J"
G,"Goldcorp Inc."
AUMN,"Golden Minerals J"
GQM,"Golden Queen Mng J"
GQM.WT,"Golden QueenMng Wt J"
GSC,"Golden Star Resource"
GGA,"Goldgroup Mining J"
GSB.UN,"Goldman Sachs US Un"
XAU,"GoldMoney Inc."
GDL,"Goodfellow Inc."
FOOD,"Goodfood Market J"
GCM,"Gran Colombia Gold J"
